Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Manufacturer
https://www.amazon.in/Lenovo-Laptop-Everyday-Backpack-Black/dp/B07GM5NR14/ref=sr_1_274?crid=2M096C61O4MLT&keywords=bags&qid=1690393415&sprefix=ba%2Caps%2C283&sr=8-274,Lenovo Everyday Laptop Backpack B515 15.6-inch Water Repellent Black,"₹1,499",4.1,,,,
https://www.amazon.in/gp/bestsellers/shoes/1983354031/ref=sr_bs_2_1983354031_1,Lavie Women's Ushawu Satchel Bag | Ladies Purse Handbag,"₹1,249",4.1,,,,
https://www.amazon.in/SKYBAGS-Unisex-Luggage-Duffel-Bag-DFHUS55ONG/dp/B07F342RQD/ref=sr_1_276?crid=2M096C61O4MLT&keywords=bags&qid=1690393415&sprefix=ba%2Caps%2C283&sr=8-276,"Skybags Unisex Polyester Solid Pattern Hustle Df 55 (Orange, Small)","₹1,585",4.3,,,,
https://www.amazon.in/DZert-Rumble-School-Backpacks-Cartoon/dp/B0994PHBSL/ref=sr_1_277?crid=2M096C61O4MLT&keywords=bags&qid=1690393415&sprefix=ba%2Caps%2C283&sr=8-277,DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),₹249,3.7,,,,
https://www.amazon.in/CLOWNFISH-Critters-Polyester-Staionery-Black-Galaxy/dp/B0BVJ526VS/ref=sr_1_278?crid=2M096C61O4MLT&keywords=bags&qid=1690393415&sprefix=ba%2Caps%2C283&sr=8-278,THE CLOWNFISH Cosmic Critters Series Printed Polyester 15 Litres Kids Backpack Unisex School Bag with Free Pencil Staionery Pouch Daypack Casual Backpack Picnic Bag for tiny tots boys & girls,₹799,4.4,,,,
https://www.amazon.in/Half-Moon-Resistant-Laptop-Backpack/dp/B09842K4RQ/ref=sr_1_279?crid=2M096C61O4MLT&keywords=bags&qid=1690393415&sprefix=ba%2Caps%2C283&sr=8-279,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Black | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",₹699,3.9,,,,
https://www.amazon.in/HAMMONDS-FLYCATCHER-Genuine-Shoulder-Messenger/dp/B07P2TQH78/ref=sr_1_280?crid=2M096C61O4MLT&keywords=bags&qid=1690393415&sprefix=ba%2Caps%2C283&sr=8-280,"HAMMONDS FLYCATCHER Genuine Leather Laptop Bag for Men - Office Bag, Brown Color - Fits Up to 14/15.6/16 Inch Laptop/MacBook - Laptop Messenger Bags/Leather Bag for Men with Adjustable Shoulder Strap","₹2,623",4.3,,,,
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B0BR149RMT/ref=sr_1_281?crid=2M096C61O4MLT&keywords=bags&qid=1690393415&sprefix=ba%2Caps%2C283&sr=8-281,Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Sky Blue),₹699,3.6,,,,Visit the Half Moon Store
https://www.amazon.in/SACCI-MUCCI-Allamanda-Lightweight-SM1-10_magnolia/dp/B09TDNZ88Z/ref=sr_1_282?crid=2M096C61O4MLT&keywords=bags&qid=1690393415&sprefix=ba%2Caps%2C283&sr=8-282,"SACCI MUCCI Women's Rainbow Sling Bag, Handmade Bags for Females - 100% Vegan Leather and Coated Duck canvas Fabric, Lightweight and Durable",₹499,4.2,,,,
https://www.amazon.in/Genie-compartments-Resistant-Lightweight-Travelling/dp/B097JJGDW5/ref=sr_1_283?crid=2M096C61O4MLT&keywords=bags&qid=1690393415&sprefix=ba%2Caps%2C283&sr=8-283,"Genie Sweet Laptop Backpack for Women, 3 compartments, Stylish and Trendy College Bags for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres","₹1,299",,,,,
